1,2,0.157499994
1,45,0.10975691
1,46,0.167688936
1,1940,0.15078136
2,3,0.158097007
2,47,0.044040071
2,1939,0.090994901
3,2040,0.147706303
3,2039,0.01566212
4,6,0.087596925
4,2042,0.16101226
4,50,0.09889007
4,5,0.021158927
5,7,0.072854838
5,52,0.040636497
5,2043,0.113671131
5,6,0.055188418
6,53,0.059146447
6,50,0.00368034
6,92,0.083221703
6,7,0.032031844
7,53,0.044756403
7,54,0.02639311
7,100,0.078248927
8,56,0.04944533
8,55,0.046778737
8,2047,0.139752594
8,142,0.102753048
8,143,0.058107488
9,10,0.067832389
9,2052,0.004948211
9,230,0.069795705
10,144,0.059638098
10,2053,0.066067043
10,145,0.072859106
10,187,0.015346569
11,12,0.079270971
11,57,0.067639233
11,2055,0.116597095
11,145,0.075601728
11,188,0.068289648
12,13,0.081985613
12,57,0.039093588
12,101,0.064135212
12,2056,0.089871734
13,58,0.018773914
13,2057,0.016726144
13,14,0.077918949
14,15,0.075811141
14,2059,0.00549101
15,16,0.078789898
15,59,0.044541304
15,2060,0.050274941
15,104,0.01350011
16,17,0.048422993
16,18,0.07762094
16,2061,0.09943565
16,104,0.066849397
17,18,0.057848497
17,60,0.053166226
17,61,0.06394601
17,104,0.068359289
17,106,0.053928875
18,61,0.068599251
18,2062,0.108492017
18,20,0.076226731
19,20,0.065722919
19,22,0.051303129
19,63,0.014397886
19,67,0.084901252
19,61,0.070253827
20,21,0.073924789
20,2063,0.084265645
20,61,0.030959547
21,24,0.070371437
21,67,0.018816969
21,2064,0.017854827
22,23,0.088954483
22,63,0.076630472
22,64,0.013901682
22,66,0.038734552
22,67,0.001803908
23,25,0.036231456
23,66,0.023698035
23,67,0.015268877
23,69,0.076761309
23,111,0.027209699
24,2066,0.003759636
24,115,0.068982466
25,67,0.087589063
25,69,0.018052662
25,71,0.069183164
25,115,0.054736178
26,72,0.064059603
26,287,0.061852224
26,160,0.050869274
26,159,0.058637037
26,114,0.061554311
26,71,0.053805816
27,28,0.067486763
27,29,0.068157368
27,72,0.066281878
27,2070,0.090175051
